english,chinese,level,phonetic,example1,example1_form,example1_cn,example2,example2_form,example2_cn
mom,妈妈,小学,mɑːm,I love my mom.,,我爱我的妈妈,My mom cooks dinner.,,我妈妈做晚饭。
money,钱,小学,ˈmʌni,I have money.,,我有钱,He saves his money.,,他存钱。
monkey,猴子,小学,ˈmʌŋki,The monkey is clever.,,猴子很聪明,Monkeys like bananas.,monkeys,猴子喜欢香蕉。
month,月,小学,mʌnθ,A month has 30 days.,,一个月有30天,We go there every month.,,我们每个月都去那里。
moon,月亮,小学,muːn,The moon is bright.,,月亮很亮,Look at the full moon.,,看那满月。
more,更多,小学,mɔːr,More books.,,更多的书,I want more water.,,我想要更多的水。
morning,早上,小学,ˈmɔːrnɪŋ,Good morning.,,早上好,I exercise in the morning.,,我早上锻炼。
mother,妈妈,小学,ˈmʌðər,This is my mother.,,这是我的妈妈,My mother helps me.,,我妈妈帮助我。
motorcycle,摩托车,小学,ˈmoʊtərsaɪkl,This is a motorcycle.,,这是一辆摩托车,He rides a motorcycle.,rides,他骑摩托车。
mountain,山,小学,ˈmaʊntn,Climb the mountain.,,爬山,The mountain is high.,,这座山很高。
mouse,老鼠,小学,maʊs,The mouse is small.,,老鼠很小,A mouse runs fast.,runs,老鼠跑得快。
mouth,嘴,小学,maʊθ,Open your mouth.,,张开嘴,She has a small mouth.,,她有一张小嘴。
move,移动,小学,muːv,Move the chair.,,移动椅子,They moved to a new house.,moved,他们搬到了新房子。
much,许多,小学,mʌtʃ,Thank you very much.,,非常感谢你,I don't have much time.,,我没有很多时间。
museum,博物馆,小学,mjuˈziːəm,Visit the museum.,,参观博物馆,The museum is closed today.,,博物馆今天关门。
music,音乐,小学,/ˈmjuːzɪk/,I like music.,,我喜欢音乐,She plays music.,plays,她演奏音乐
must,必须,小学,/mʌst/,I must go.,,我必须走了,You must be quiet.,,你必须安静
my,我的,小学,/maɪ/,This is my pen.,,这是我的钢笔,My dog is small.,,我的狗很小
name,名字,小学,/neɪm/,My name is Tom.,,我的名字是汤姆,What is your name?,,你叫什么名字？
narrow,狭窄的,小学,/ˈnærəʊ/,A narrow road.,,狭窄的路,The river is narrow.,,这条河很窄
nation,国家,小学,/ˈneɪʃn/,Our nation is great.,,我们的国家很伟大,Many nations are here.,nations,许多国家在这里
near,在……附近,小学,/nɪə(r)/,Near the school.,,在学校附近,I live near you.,,我住在你附近
nearly,几乎,小学,/ˈnɪəli/,Nearly done.,,几乎完成了,It's nearly time.,,快到时间了
neck,脖子,小学,/nek/,My neck hurts.,,我脖子疼,She wears a scarf around her neck.,,她脖子上围着一条围巾
need,需要,小学,/niːd/,I need water.,,我需要水,He needs help.,needs,他需要帮助
neighbour,邻居,小学,/ˈneɪbə(r)/,My neighbour is kind.,,我的邻居很友好,Our neighbours are friendly.,neighbours,我们的邻居们很友好
nest,鸟巢,小学,/nest/,A bird's nest.,,鸟巢,The bird built a nest.,built,那只鸟筑了一个巢
net,网,小学,/net/,A fishing net.,,渔网,He caught a fish in the net.,caught,他用网捕到了一条鱼
new,新的,小学,/njuː/,A new book.,,一本新书,She has a new friend.,,她有一个新朋友
news,新闻,小学,/njuːz/,Good news.,,好消息,I watch the news every day.,,我每天都看新闻
newspaper,报纸,小学,/ˈnjuːzpeɪpə(r)/,Read newspaper.,,看报纸,He reads the newspaper every morning.,reads,他每天早上看报纸。
next,下一个,小学,/nekst/,Next day.,,第二天,Who is next?,,谁是下一个？
nice,好的；漂亮的,小学,/naɪs/,Nice to meet you.,,很高兴遇见你,It's a nice day.,,今天天气很好。
night,晚上,小学,/naɪt/,Good night.,,晚安,I sleep at night.,sleep,我晚上睡觉。
nine,九,小学,/naɪn/,Nine pens.,,九支钢笔,I am nine years old.,,我九岁了。
no,不,小学,/nəʊ/,"No, thanks.",,不，谢谢,There is no water.,,没有水。
noodle,面条,小学,/ˈnuːdl/,I eat noodles.,noodles,我吃面条,She likes noodle soup.,,她喜欢面条汤。
noon,中午,小学,/nuːn/,At noon.,,在中午,We have lunch at noon.,have,我们中午吃午饭。
nor,也不,小学,/nɔː(r)/,Neither nor.,,既不也不,"I don't like it, nor does she.",does,我不喜欢它，她也不喜欢。
north,北方,小学,/nɔːθ/,North of China.,,中国北方,The wind blows from the north.,blows,风从北方吹来。
nose,鼻子,小学,/nəʊz/,I have a nose.,,我有一个鼻子,My nose is small.,,我的鼻子很小。
not,不,小学,/nɒt/,I am not a teacher.,,我不是老师,It is not red.,,它不是红色的。
now,现在,小学,/naʊ/,I'm happy now.,,我现在很开心,What are you doing now?,doing,你现在在做什么？
nurse,护士,小学,/nɜːs/,She is a nurse.,,她是一名护士,The nurse helps the doctor.,helps,护士帮助医生。
nut,坚果,小学,/nʌt/,I like nuts.,nuts,我喜欢坚果,Squirrels eat nuts.,eat,松鼠吃坚果。
o'clock,……点钟,小学,/əˈklɒk/,It's 3 o'clock.,,现在三点钟,Let's meet at 5 o'clock.,,我们五点钟见面吧。
ocean,海洋,小学,/ˈəʊʃn/,The ocean is big.,,海洋很大,We swam in the ocean.,,我们在海洋里游泳。
of,……的,小学,/əv/,A map of China.,,一张中国地图,The color of the sky.,,天空的颜色。
off,离开；关闭,小学,/ɒf/,Turn off the light.,,关灯,The cat jumped off the table.,,猫从桌子上跳了下来。
office,办公室,小学,/ˈɒfɪs/,This is an office.,,这是一间办公室,My dad works in an office.,,我爸爸在办公室工作。
often,经常,小学,/ˈɒfn/,I often read books.,,我经常看书,She often helps her mother.,,她经常帮助她的妈妈。
oil,油,小学,/ɔɪl/,Cooking oil.,,食用油,The car needs oil.,,汽车需要加油。
old,老的；旧的,小学,/əʊld/,An old book.,,一本旧书,My grandfather is old.,,我的祖父年纪大了。
on,在……上面,小学,/ɒn/,On the desk.,,在书桌上,The book is on the bed.,,书在床上。
once,一次,小学,/wʌns/,Once a week.,,一周一次,I visited Beijing once.,,我去过北京一次。
one,一,小学,/wʌn/,One apple.,,一个苹果,I have one pencil.,,我有一支铅笔。
onion,洋葱,小学,/ˈʌnjən/,I like onions.,onions,我喜欢洋葱,She is cutting an onion.,,她正在切一个洋葱。
only,仅仅,小学,/ˈəʊnli/,Only one.,,只有一个,He is only five years old.,,他只有五岁。
open,打开,小学,/ˈəʊpən/,Open the door.,,打开门,The shop opens at nine.,opens,商店九点开门。
or,或者,小学,/ɔː(r)/,Tea or coffee?,,茶还是咖啡,Do you want an apple or a banana?,,你想要一个苹果还是一根香蕉？
orange,橙子；橙色的,小学,/ˈɒrɪndʒ/,An orange.,,一个橙子,The orange is sweet.,,这个橙子很甜。
order,命令；订单,小学,/ˈɔːdə(r)/,Order food.,,点餐,He ordered a book.,ordered,他订购了一本书。
our,我们的,小学,/ˈaʊə(r)/,This is our classroom.,,这是我们的教室,Our teacher is kind.,,我们的老师很和善。
out,外面,小学,/aʊt/,Go out.,,出去,The cat is out.,,猫在外面。
over,在……上方,小学,/ˈəʊvə(r)/,Over the desk.,,在书桌上方,The bird flew over the tree.,flew,鸟飞过了树。
own,自己的,小学,/əʊn/,My own room.,,我自己的房间,She has her own bike.,,她有自己的自行车。
page,页,小学,/peɪdʒ/,Page 5.,,第五页,Turn to page ten.,,翻到第十页。
pain,疼痛,小学,/peɪn/,I have a pain.,,我很疼,My leg hurts. It's a pain.,hurts,我的腿疼。这是一种疼痛。
paint,画画；油漆,小学,/peɪnt/,Paint a picture.,,画一幅画,He painted the wall blue.,painted,他把墙漆成了蓝色。
pair,一双；一对,小学,/peə(r)/,A pair of shoes.,,一双鞋,I need a pair of socks.,,我需要一双袜子。
palace,宫殿,小学,/ˈpæləs/,The palace is beautiful.,,宫殿很漂亮,We visited the old palace.,visited,我们参观了那座古老的宫殿。
panda,熊猫,小学,/ˈpændə/,The panda is cute.,,熊猫很可爱,Pandas eat bamboo.,eat,熊猫吃竹子。
paper,纸,小学,/ˈpeɪpə(r)/,A piece of paper.,,一张纸,Write on the paper.,Write,写在纸上。
parent,父母,小学,/ˈpeərənt/,My parents love me.,parents,我的父母爱我,Every parent cares for their child.,,每位父母都关心自己的孩子。
park,公园,小学,/pɑːk/,I go to the park.,,我去公园,Let's play in the park.,play,我们在公园玩吧。
part,部分,小学,pɑːrt,A part of the book.,,书的一部分,We are part of a team.,,我们是团队的一部分。
party,聚会,小学,ˈpɑːrti,Have a party.,,举办聚会,I went to a birthday party.,,我参加了一个生日聚会。
pass,传递；通过,小学,pæs,Pass me the book.,,把书递给我,He passed the test.,passed,他通过了考试。
past,过去,小学,pæst,In the past.,,在过去,The bus drove past the school.,,公交车驶过了学校。
path,小路,小学,pæθ,A small path.,,一条小路,We walked along the garden path.,,我们沿着花园小径散步。
pea,豌豆,小学,piː,I like peas.,peas,我喜欢豌豆,She ate some green peas.,peas,她吃了一些青豆。
pear,梨,小学,per,A pear.,,一个梨,Would you like a pear?,,你想要一个梨吗？
pen,钢笔,小学,pen,This is my pen.,,这是我的钢笔,Write your name with a pen.,,用钢笔写下你的名字。
pencil,铅笔,小学,ˈpensl,I write with a pencil.,,我用铅笔写字,My pencil is broken.,,我的铅笔断了。
people,人们,小学,ˈpiːpl,Many people.,,许多人,People are happy.,,人们很开心。
pepper,辣椒,小学,ˈpepər,I like pepper.,,我喜欢辣椒,Add some pepper to the soup.,,往汤里加些胡椒粉。
pet,宠物,小学,pet,I have a pet.,,我有一只宠物,My pet dog is very cute.,,我的宠物狗非常可爱。
phone,电话,小学,foʊn,Call me on the phone.,,给我打电话,She is talking on the phone.,,她正在打电话。
photo,照片,小学,ˈfoʊtoʊ,This is my photo.,,这是我的照片,I took a photo of the mountain.,,我拍了一张山的照片。
piano,钢琴,小学,piˈænoʊ,Play the piano.,,弹钢琴,She is learning to play the piano.,playing,她正在学弹钢琴。
pick,采摘,小学,pɪk,Pick apples.,,摘苹果,She picks flowers.,picks,她摘花。
picnic,野餐,小学,ˈpɪknɪk,Have a picnic.,,去野餐,We are picnicking.,picnicking,我们正在野餐。
picture,图片,小学,ˈpɪktʃər,A nice picture.,,一张漂亮的图片,He pictures a happy scene.,pictures,他想象一个快乐的场景。
pie,馅饼,小学,paɪ,I like pie.,,我喜欢馅饼,She baked a pie.,baked,她烤了一个馅饼。
pig,猪,小学,pɪɡ,The pig is fat.,,猪很胖,Pigs are eating.,eating,猪在吃东西。
pill,药片,小学,pɪl,Take a pill.,,吃一片药,He took two pills.,took,他吃了两片药。
pin,别针,小学,pɪn,A safety pin.,,安全别针,She pinned the paper.,pinned,她用别针别住纸。
pineapple,菠萝,小学,ˈpaɪnæpl,Pineapple is sweet.,,菠萝很甜,We cut the pineapple.,cut,我们切菠萝。
pink,粉色的,小学,pɪŋk,Pink dress.,,粉色裙子,The sky turned pink.,turned,天空变成了粉色。
pioneer,先锋,小学,ˌpaɪəˈnɪr,Young pioneer.,,少先队员,They pioneered the project.,pioneered,他们开创了这个项目。
pizza,披萨,小学,ˈpiːtsə,I like pizza.,,我喜欢披萨,We ordered pizza.,ordered,我们点了披萨。
place,地方,小学,pleɪs,A nice place.,,一个好地方,He placed the book.,placed,他把书放好。
plane,飞机,小学,pleɪn,I go by plane.,,我坐飞机去,The plane is flying.,flying,飞机正在飞行。
plant,植物；种植,小学,plænt,Plant a tree.,,种树,She plants flowers.,plants,她种花。
plate,盘子,小学,pleɪt,A clean plate.,,干净的盘子,He plates the food.,plates,他把食物装盘。
play,玩；演奏,小学,/pleɪ/,Play football.,,踢足球,She plays the piano.,plays,她弹钢琴。
playground,操场,小学,/ˈpleɪɡraʊnd/,I play on the playground.,,我在操场玩,The children are in the playground.,,孩子们在操场上。
please,请,小学,/pliːz/,"Sit down, please.",,请坐,Please be quiet.,,请安静。
plenty,大量,小学,/ˈplenti/,Plenty of water.,,大量的水,We have plenty of time.,,我们有充足的时间。
pocket,口袋,小学,/ˈpɒkɪt/,In my pocket.,,在我的口袋里,He put his hands in his pockets.,pockets,他把手放进口袋里。
poem,诗,小学,/ˈpəʊɪm/,A beautiful poem.,,一首优美的诗,She wrote a poem.,,她写了一首诗。
point,指,小学,/pɔɪnt/,Point to the door.,,指向门,He pointed at the map.,pointed,他指着地图。
police,警察,小学,/pəˈliːs/,Call the police.,,报警,The police help people.,,警察帮助人们。
pond,池塘,小学,/pɒnd/,The duck is in the pond.,,鸭子在池塘里,There are fish in the pond.,,池塘里有鱼。
pool,水池,小学,/puːl/,Swimming pool.,,游泳池,Let's go to the pool.,,我们去游泳池吧。
poor,贫穷的,小学,/pɔː(r)/,Help the poor.,,帮助穷人,The poor man has no food.,,那个穷人没有食物。
pop,流行的,小学,/pɒp/,Pop music.,,流行音乐,She likes pop songs.,,她喜欢流行歌曲。
pork,猪肉,小学,/pɔːk/,I eat pork.,,我吃猪肉,We had pork for dinner.,,我们晚餐吃了猪肉。
port,港口,小学,/pɔːt/,A big port.,,一个大港口,The ship is at the port.,,船在港口。
position,位置,小学,/pəˈzɪʃn/,My position.,,我的位置,Please change your position.,,请改变你的位置。
possible,可能的,小学,/ˈpɒsəbl/,It's possible.,,这是可能的,Is it possible to go there?,,有可能去那里吗？
post,邮政,小学,/pəʊst/,Post office.,,邮局,I will post a letter.,,我要寄一封信。
potato,土豆,小学,/pəˈteɪtəʊ/,I like potatoes.,potatoes,我喜欢土豆,This is a potato.,,这是一个土豆。
pound,英镑,小学,/paʊnd/,One pound.,,一英镑,It costs five pounds.,pounds,它要五英镑。
power,力量,小学,/ˈpaʊə(r)/,Great power.,,强大的力量,He has the power to help.,,他有能力帮忙。
present,礼物,小学,/ˈpreznt/,This is a present.,,这是一个礼物,I got a birthday present.,,我收到了一份生日礼物。
price,价格,小学,/praɪs/,The price is low.,,价格很低,What's the price of the toy?,,这个玩具的价格是多少？
pride,骄傲,小学,/praɪd/,Take pride in.,,为……骄傲,She felt pride in her work.,,她为自己的工作感到骄傲。
primary,小学的,小学,/ˈpraɪməri/,Primary school.,,小学,My primary teacher is nice.,,我的小学老师很好。
print,打印,小学,/prɪnt/,Print the paper.,,打印文件,Can you print a picture?,,你能打印一张图片吗？
prize,奖品,小学,/praɪz/,Win a prize.,,赢得奖品,She won first prize.,,她赢得了一等奖。
problem,问题,小学,/ˈprɒbləm/,Solve the problem.,,解决问题,I have a math problem.,,我有一道数学题。
produce,生产,小学,/prəˈdjuːs/,Produce food.,,生产食物,The farm produces milk.,produces,这个农场生产牛奶。
project,项目,小学,/ˈprɒdʒekt/,A school project.,,学校项目,We finished our art project.,,我们完成了我们的艺术项目。
promise,承诺,小学,/ˈprɒmɪs/,I promise.,,我承诺,He made a promise to come.,,他承诺会来。
pronounce,发音,小学,[prəˈnaʊns],Pronounce the word.,,读这个单词,How do you pronounce this?,,这个怎么发音？
protect,保护,小学,[prəˈtekt],Protect animals.,,保护动物,We must protect our planet.,,我们必须保护我们的星球。
proud,骄傲的,小学,[praʊd],I'm proud of you.,,我为你骄傲,She felt proud of her work.,,她为自己的工作感到骄傲。
public,公共的,小学,[ˈpʌblɪk],Public place.,,公共场所,It's a public park.,,这是一个公共公园。
pull,拉,小学,[pʊl],Pull the door.,,拉门,He pulled the rope.,pulled,他拉了绳子。
push,推,小学,[pʊʃ],Push the door.,,推门,She pushed the cart.,pushed,她推了手推车。
put,放,小学,[pʊt],Put the book on the desk.,,把书放在书桌上,Put your toys away.,,把你的玩具收好。
